material_id,band_gap,formation_energy_per_atom,energy_above_hull
mp-1029616,2.658,-1.280363978880952,0.0
mp-1029918,1.562399999999999,-1.113593344880951,0.0
mp-10336,0.5313999999999991,-1.4514473525,0.0
mp-1201606,3.000499999999999,-2.142931693129251,0.0
mp-1203559,5.8133,-0.450125838199999,0.0
mp-1205018,4.004799999999999,-2.711770589614512,0.0
mp-1228148,1.3409,-2.949014915666667,0.0
mp-1229128,0.42099999999999904,-1.409352184955356,0.0
mp-13703,3.823299999999999,-2.594719617222223,0.0
mp-14092,1.0469,-0.43926148875000204,0.0
mp-17363,3.2256,-3.6946238200000012,0.0
mp-17568,0.21549999999999903,-0.03840222770408,0.0
mp-19276,3.7927,-2.654552259166666,0.0
mp-23184,4.7135,-1.0426612775,0.0
mp-2624,1.2255,-0.252975485,0.0
mp-27344,6.190300000000001,-0.242476565189394,0.0
mp-28020,2.5112,-1.319186356666666,0.0
mp-28192,1.7772000000000001,-0.298684163973214,0.0
mp-28812,1.5002,-0.6585394598333311,0.0
mp-29654,2.9653,-0.09809325075000001,0.0
mp-31064,5.6566,-0.27971710919117604,0.0
mp-36526,4.256600000000001,-4.159415700833336,0.0
mp-3777,2.9202,-1.306235193125001,0.0
mp-5046,6.9502,-2.302504960416666,0.0
mp-505465,2.936,-1.639667804722222,0.0
mp-557090,1.2285,-1.7513867525,0.0
mp-568443,0.8418000000000001,-1.6701747172727281,0.0
mp-573465,0.198499999999999,-0.23762317500000302,0.0
mp-7913,5.1459,-1.400415780625,0.0
mp-8258,3.1571,-1.5920549239583321,0.0
