material_id,gt_band_gap,tool_band_gap,pred_band_gap,abs_err,label,raw_output,latency_s
mp-619575,2.5175,2.5175,2.5175,0.0,ok,2.5175,0.6911282539367676
mp-9851,0.1063,0.1063,0.1063,0.0,ok,0.1063,1.0260629653930664
mp-2793,0.26279999999999903,0.26279999999999903,0.2628,9.43689570931383e-16,ok,0.2628,0.8156521320343018
mp-23184,4.7135,4.7135,4.7135,0.0,ok,4.7135,0.9293062686920166
mp-1213622,0.5263,0.5263,0.5263,0.0,ok,0.5263,0.45880770683288574
mp-30140,4.1443,4.1443,4.1443,0.0,ok,4.1443,0.8623208999633789
mp-1232276,0.4328,0.4328,0.4328,0.0,ok,0.4328,0.7181611061096191
mp-1227290,0.1101,0.1101,0.1101,0.0,ok,0.1101,0.816309928894043
mp-1170,1.514799999999999,1.514799999999999,1.5148,8.881784197001252e-16,ok,1.5148,0.8208739757537842
mp-32633,0.5265000000000001,0.5265000000000001,0.5265,1.1102230246251565e-16,ok,0.5265,0.7139091491699219
mp-1195922,0.37600000000000006,0.37600000000000006,0.376,5.551115123125783e-17,ok,0.376,0.7713100910186768
mp-254,7.6164000000000005,7.6164000000000005,7.6164,8.881784197001252e-16,ok,7.6164,0.7663288116455078
mp-18299,0.21550000000000002,0.21550000000000002,0.2155,2.7755575615628914e-17,ok,0.2155,0.7167558670043945
mp-23185,2.8624,2.8624,2.8624,0.0,ok,2.8624,0.7242729663848877
mp-23290,1.7917,1.7917,1.7917,0.0,ok,1.7917,0.7102179527282715
mp-30031,3.8971,3.8971,3.8971,0.0,ok,3.8971,0.7153699398040771
mp-555908,2.2721,2.2721,2.2721,0.0,ok,2.2721,0.7751390933990479
mp-22398,3.1061,3.1061,3.1061,0.0,ok,3.1061,0.7123618125915527
mp-27628,1.3552,1.3552,1.3552,0.0,ok,1.3552,0.6582448482513428
mp-1212833,0.39120000000000005,0.39120000000000005,0.3912,5.551115123125783e-17,ok,0.3912,0.8232171535491943
mp-571518,1.9169,1.9169,1.9169,0.0,ok,1.9169,0.7132711410522461
mp-9852,0.1259,0.1259,0.1259,0.0,ok,0.1259,0.6848840713500977
mp-34202,0.3388,0.3388,0.3388,0.0,ok,0.3388,0.8494012355804443
mp-570796,1.537399999999999,1.537399999999999,1.5374,1.1102230246251565e-15,ok,1.5374,0.6504700183868408
mp-1195,1.8930999999999991,1.8930999999999991,1.8931,8.881784197001252e-16,ok,1.8931,0.6837360858917236
mp-672204,0.37869999999999904,0.37869999999999904,0.3787,9.43689570931383e-16,ok,0.3787,0.6458690166473389
