material_id,gt_band_gap,input_missing,pred_band_gap_eV,label,detail,latency_s
mp-1018138,1.037,band_gap,,ok_abstain,,0.8991298675537109
mp-1018722,1.0432,band_gap,,ok_abstain,,0.8171000480651855
mp-1025442,1.3846999999999992,band_gap,,ok_abstain,,0.9741129875183105
mp-10802,0.5879000000000001,band_gap,,ok_abstain,,0.9158079624176025
mp-1095275,0.4889,band_gap,,ok_abstain,,0.7774810791015625
mp-1105,2.2352,band_gap,,ok_abstain,,0.9141182899475098
mp-1167,9.0653,band_gap,,ok_abstain,,1.078683853149414
mp-1186,1.0418,band_gap,,ok_abstain,,0.7676999568939209
mp-1196514,1.8888999999999991,band_gap,,ok_abstain,,0.9200410842895508
mp-1200885,0.585,band_gap,,ok_abstain,,0.9565110206604004
mp-1204356,1.8389,band_gap,,ok_abstain,,0.67913818359375
mp-1204579,1.446699999999999,band_gap,,ok_abstain,,1.0255818367004395
mp-1217322,0.7062,band_gap,,ok_abstain,,0.7475719451904297
mp-12180,2.0185,band_gap,,ok_abstain,,0.8909008502960205
mp-1232276,0.4328,band_gap,,ok_abstain,,0.8171982765197754
mp-1247,0.5099,band_gap,,ok_abstain,,1.0246641635894775
mp-1249,6.824,band_gap,,ok_abstain,,1.0205519199371338
mp-1341935,3.6765,band_gap,,ok_abstain,,1.026979923248291
mp-13568,0.3379,band_gap,,ok_abstain,,0.9218156337738037
mp-1402840,1.165,band_gap,,ok_abstain,,0.8561711311340332
mp-149,0.6105,band_gap,,ok_abstain,,0.7799351215362549
mp-1524481,8.309,band_gap,,ok_abstain,,0.6713430881500244
mp-1525121,1.687399999999999,band_gap,,ok_abstain,,0.8607561588287354
mp-1525632,2.8979,band_gap,,ok_abstain,,0.8968911170959473
mp-1536,0.8246000000000001,band_gap,,ok_abstain,,1.0506219863891602
mp-1545417,0.7358999999999991,band_gap,,ok_abstain,,1.0264580249786377
mp-15953,0.370499999999999,band_gap,,ok_abstain,,1.0183978080749512
mp-15954,0.2625,band_gap,,ok_abstain,,0.8220210075378418
mp-16911,1.9539,band_gap,,ok_abstain,,0.7891750335693359
mp-1705,0.5057,band_gap,,ok_abstain,,0.6436762809753418
mp-18388,0.5754,band_gap,,ok_abstain,,0.9214680194854736
mp-1863,1.451899999999999,band_gap,,ok_abstain,,1.2292139530181885
mp-19921,1.4635999999999991,band_gap,,ok_abstain,,0.9169578552246094
mp-2049132,0.216299999999999,band_gap,,ok_abstain,,0.8592770099639893
mp-2068,0.862599999999999,band_gap,,ok_abstain,,0.9869461059570312
mp-2076,0.3296,band_gap,,ok_abstain,,0.8182730674743652
mp-2150,0.1253,band_gap,,ok_abstain,,1.025818109512329
mp-21525,0.5688,band_gap,,ok_abstain,,0.9079310894012451
mp-22216,0.8856,band_gap,,ok_abstain,,0.8765320777893066
mp-22909,4.0533,band_gap,,ok_abstain,,0.9790477752685547
mp-23155,8.5132,band_gap,,ok_abstain,,0.9192390441894531
mp-23165,0.8929,band_gap,,ok_abstain,,0.9928910732269287
